Test_case,Flow_rate,Inlet_temperature,Speed,Copper_loss,T_layer_a_f,T_layer_b_f,T_layer_c_f,T_layer_d_f,T_layer_e_f,T_layer_f_f,T_layer_a_r,T_layer_b_r,T_layer_c_r,T_layer_d_r,T_layer_e_r,T_layer_f_r,T_layer_a_f_motorcad,T_layer_b_f_motorcad,T_layer_c_f_motorcad,T_layer_d_f_motorcad,T_layer_e_f_motorcad,T_layer_f_f_motorcad,T_layer_a_r_motorcad,T_layer_b_r_motorcad,T_layer_c_r_motorcad,T_layer_d_r_motorcad,T_layer_e_r_motorcad,T_layer_f_r_motorcad,Correlation_Factor_layer_a_f_motorcad,Correlation_Factor_layer_b_f_motorcad,Correlation_Factor_layer_c_f_motorcad,Correlation_Factor_layer_d_f_motorcad,Correlation_Factor_layer_e_f_motorcad,Correlation_Factor_layer_f_f_motorcad,Correlation_Factor_layer_a_r_motorcad,Correlation_Factor_layer_b_r_motorcad,Correlation_Factor_layer_c_r_motorcad,Correlation_Factor_layer_d_r_motorcad,Correlation_Factor_layer_e_r_motorcad,Correlation_Factor_layer_f_r_motorcad
1,2,40,0,1000,59.28460783126784,59.77110226143111,61.16564709,61.56992284768353,62.85888360659878,63.161711789141634,58.59195413176508,59.07831544001564,59.82716077393008,60.20285985129348,61.89115057878196,62.11509167227674,58.561121792619815,58.793329960442904,59.17931446144097,59.269353439684004,59.42223045302866,59.43685887523054,59.04618311379132,59.322229040395754,59.231283558081515,59.32165746708415,60.00140489683758,59.962844978210484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
2,2,40,2500,1500,61.70839326570069,62.32285651599345,63.85199544651392,64.35451489447699,65.77269016286058,66.15507253079814,60.987913132926266,61.61654164316048,62.37199902692896,62.83909939909669,64.80420803,65.08674641625981,61.755307031336514,62.12671445202688,63.622473202923445,63.85683756798221,64.17578432975739,64.2061137449906,61.14384109530041,61.55431330678266,62.127596566110896,62.3643117447497,64.29594284509498,64.32290274770496,1.07158418738184,1.06351576951422,0.991850743213922,0.978382630836876,0.975082737608153,0.975082737608153,1.16382926089775,1.15524350604194,1.09867038932643,1.08530039351991,1.01168550440021,1.00259470746036
3,2,40,5000,2000,58.678093998576045,59.31992587379423,60.63100445660582,61.15308482130299,62.419875229664775,62.870563840494896,58.07415465185859,58.74744592,59.310314759808136,59.79224721252634,61.63811108108969,61.96905017,57.03080881631364,57.39824631142038,58.67779156268761,58.98430323653933,60.55848440269626,60.76158508554299,56.267867938269625,56.697068979306465,57.124848258488484,57.39231330343818,59.22142499004711,59.31810886441042,1.30679757756393,1.29599470309762,1.21452853598432,1.19153562126598,1.08563992634418,1.06758497993865,1.43762695691347,1.42412200306167,1.35657012231185,1.3346074757248,1.2457502414863,1.22969033554903
4,2,40,7500,2500,54.90147756625811,55.51617457275265,56.53294393024424,57.0246405101278,58.0432745190784,58.52766066910762,54.44066306517726,55.09913182459694,55.46369093637151,55.91458049898378,57.47750026344989,57.83148166093448,54.726889814686054,55.07300416218395,55.80621858332618,56.052311656224184,56.92976839751852,57.16158208491748,54.40453798028857,54.830568501320954,54.954883626199646,55.17758971704417,56.44405727957113,56.55494469011805,1.29756726722461,1.29231238113685,1.25107984761029,1.2347324330759,1.17509606838664,1.15883921210337,1.38309181461223,1.37623997831669,1.33651217662782,1.32131329682192,1.27795032518313,1.26443022219474
5,2,40,10000,3000,51.80859696196204,52.37207992229602,53.13908708306182,53.57817474975362,54.363785840370525,54.84417098159691,51.46742457232268,52.080765317130215,52.30127700627057,52.70227177836558,53.973977061775486,54.32420605162647,52.63536587141784,52.961195495842865,53.432484809097716,53.64715371187675,54.21649201604124,54.46318392763262,52.496522142435175,52.90484591256404,52.90122572601743,53.09555860632404,54.040798273282704,54.16866476860884,1.2892018833095,1.28779821514748,1.26483431651571,1.25162249139929,1.21289808583034,1.19822959090297,1.35430190208709,1.35259074023163,1.32385864710283,1.31227107600704,1.29196096739408,1.27923803819617
6,2,40,12500,3000,48.17022309007595,48.60143030128279,49.101396187766255,49.43049463253343,49.95107100674719,50.344856148507965,47.95332162338075,48.42905972630108,48.53770716687736,48.83780058914383,49.72505898855092,50.01286513462099,49.42132258351339,49.680334558750076,49.95942045084143,50.12151600566332,50.455097393376555,50.67318341285812,49.378360224175985,49.70474912415832,49.65058011805595,49.79839353416944,50.429129288573975,50.549370713589695,1.28211590397402,1.28387674612832,1.27092242348285,1.26045944405735,1.23506433528587,1.22204458090943,1.33557964789707,1.33841485077912,1.31500715479363,1.30611020073295,1.30067233580386,1.28905426643144
7,2,40,15000,3000,45.890990765686325,46.224212284651976,46.563780452497184,46.81391808945812,47.17156089032896,47.493408574551125,45.74927857429927,46.121093608106975,46.172380129732346,46.40058772650217,47.03986683,47.27636908401076,47.28434627907547,47.4934069486803,47.671696514483564,47.79668558123164,48.00776093359091,48.19723608052369,47.28294290294028,47.546918858527775,47.4786385706695,47.59408924037626,48.04000249252607,48.1503364209028,1.27618748459079,1.28069356901309,1.27391184688775,1.26620108361887,1.24932144977824,1.23860791045422,1.32208136305812,1.32879178564561,1.30831435272973,1.30186418908024,1.30663656059318,1.29647902250494
8,2,75,0,600,82.69791308575185,83.11261494975362,84.01266660797623,84.26870695072611,85.01160655033246,85.16616783545999,82.35695942319711,82.74149447893774,83.33718768515222,83.56936088,84.41157214191674,84.52755222160144,80.98211158228455,81.22702408166394,81.49607945997391,81.55891577796837,81.62237695690393,81.6054782030458,81.22253485285773,81.47075285072592,81.57583311572,81.63738129774967,81.88457644431978,81.8483568104686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
9,2,75,2500,900,82.94515968,83.39505743499208,84.23412136446818,84.53470660945621,85.26300865865221,85.44448563,82.60470891872217,83.03516236632956,83.52187426069054,83.79276187457356,84.70243454,84.83698304,81.95126368581097,82.20958181066038,82.45537922236724,82.52654795691785,82.58742783694899,82.56416361525983,82.23134461979397,82.50733828427502,82.52897009855812,82.5990616144868,82.91715910603045,82.8668399446279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
10,2,75,5000,1200,80.7899454,81.18669363948374,81.75463212972585,82.02929763,82.55780996302764,82.7495803,80.54564465084502,80.93605113,81.21323533,81.45736621,82.17236614785921,82.31108491,80.65964640911913,80.89294045537291,81.06502020907612,81.13217601857593,81.18461582324987,81.17296423533885,80.89135917536271,81.15249921484543,81.11013053910432,81.17628498179779,81.47780053428299,81.43463244900016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
